real,imag,mag,phase,unwrapped_phase
-6.393395672851985182e+03,1.050023812407530386e+03,6.479047633430806854e+03,2.978810169602748470e+00,2.978810169602747582e+00
-6.408930263165469114e+03,1.067109624380869718e+03,6.497161693275340440e+03,2.976602690930313155e+00,2.976602690930312267e+00
-6.473372604452873929e+03,1.052888520883076126e+03,6.558439380941806121e+03,2.980355444296500345e+00,2.980355444296499456e+00
-6.493076266186838438e+03,1.053243292787995870e+03,6.577945031111290518e+03,2.980783092383249233e+00,2.980783092383248345e+00
-6.479644721016264157e+03,1.028762616901929050e+03,6.560803931876705974e+03,2.984138510948690204e+00,2.984138510948689316e+00
-6.561353197608344999e+03,1.016143070054408781e+03,6.639570959225065963e+03,2.987945345020468046e+00,2.987945345020467158e+00
-6.566171467238996229e+03,1.011828863896732400e+03,6.643674087957510892e+03,2.988698059201744250e+00,2.988698059201743362e+00
-6.591054334003376425e+03,9.801021691810506127e+02,6.663527406398062340e+03,2.993972502339411701e+00,2.993972502339410813e+00
-6.618754511208745498e+03,9.932820234080595583e+02,6.692870868145576424e+03,2.992633429345274987e+00,2.992633429345274099e+00
-6.665297774367707461e+03,9.650255151481094344e+02,6.734795369265349109e+03,2.997808225136246119e+00,2.997808225136245230e+00
-6.678242962186071054e+03,9.167154381740137978e+02,6.740867618977127677e+03,3.005176255213317216e+00,3.005176255213316328e+00
-6.713383950993626058e+03,9.500289461234613100e+02,6.780271312560525985e+03,3.001013421132746828e+00,3.001013421132745940e+00
-6.683016507600235855e+03,9.584444484518056697e+02,6.751394330182864906e+03,2.999148995100660908e+00,2.999148995100660020e+00
-6.733112148537903522e+03,9.717578401633361409e+02,6.802875311565515403e+03,2.998257187576772953e+00,2.998257187576772065e+00
-6.691603086309662103e+03,1.002719155123149903e+03,6.766313440032163271e+03,2.992851976103034328e+00,2.992851976103033440e+00
-6.701358327814223230e+03,1.059640897232492307e+03,6.784618063594495652e+03,2.984767780373946966e+00,2.984767780373946078e+00
-6.723806716265664363e+03,1.150052163740553624e+03,6.821451219280511395e+03,2.972190110246397676e+00,2.972190110246396788e+00
-6.658816481368526183e+03,1.204487295229570236e+03,6.766877165791807784e+03,2.962641563870390904e+00,2.962641563870390016e+00
-6.690155163616472237e+03,1.299444137566904146e+03,6.815183869854219665e+03,2.949749072796631122e+00,2.949749072796630234e+00
